Sprint,Sprint Objectives,Task / Deliverables,Participants,Days Allotted,Status
Sprint 1,Foundation & User Management,"• Set up Django project structure; • Implement user authentication system; • Create role-based access control (Sales Rep, Pharmacist, Admin); • Design and implement user registration/login pages; • Create basic dashboard templates",Product Owner; Scrum Master; Backend Developer; Frontend Developer,10 days,Completed
Sprint 2,Inventory Management Module,"• Design Medicine model with categories and manufacturers; • Implement medicine CRUD operations; • Create inventory dashboard for pharmacists; • Develop stock management system; • Implement low stock alerts and reorder points; • Create medicine catalog with search and filtering",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 3,Order Management & Cart System,"• Implement shopping cart functionality; • Create order creation workflow for sales representatives; • Design Order and OrderItem models; • Implement order listing and detail views; • Develop order status tracking system; • Create order history with timeline view; • Implement units_per_box calculation for pricing",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 4,Payment Processing & Verification,"• Design PaymentSubmission model; • Implement manual payment submission flow; • Create payment verification interface for pharmacists; • Develop payment rejection mechanism with feedback; • Implement FileUpload for payment receipts; • Create payment status tracking in order workflow; • Ensure single pending payment submission per order",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 5,Prescription Management,"• Implement prescription upload functionality; • Create prescription verification workflow; • Design FileUpload model for prescription documents; • Develop prescription validation rules; • Integrate prescription requirement checks in order process",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 6,Notification System & Real-time Updates,"• Design Notification model and service; • Implement real-time notification widget; • Create notification routing based on user roles; • Develop action URL transformation for different user views; • Implement notification read/unread tracking; • Create notification filters for order-related events",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 7,ARIMA Forecasting & Analytics,"• Implement ARIMA model integration with pmdarima; • Create data collection and preprocessing pipeline; • Develop 6-step ARIMA process (Stationarity, Decomposition, Model Selection, Training, Forecasting, Evaluation); • Design analytics dashboard with Chart.js visualizations; • Implement forecast generation and model evaluation metrics (AIC, BIC, RMSE, MAE, MAPE); • Create demand prediction views and export functionality",Product Owner; Scrum Master; Data Scientist; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 8,Order Status Workflow & History,"• Implement OrderStatusHistory model for complete audit trail; • Create status history timeline display; • Develop status transition rules and validations; • Implement payment status dependencies (e.g., ""Delivered"" requires ""Paid""); • Create order status update forms with conditional field visibility; • Develop status history filtering and display logic",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 9,Dashboard Enhancement & Reporting,"• Enhance sales representative dashboard with Processing/Ready for Pickup metrics; • Improve pharmacist order fulfillment dashboard; • Create admin system monitoring dashboard; • Implement real-time cart count badge updates; • Develop order statistics and analytics widgets; • Create export functionality for reports",Product Owner; Scrum Master; Backend Developer; Frontend Developer; QA Tester,10 days,Completed
Sprint 10,Deployment & Infrastructure,"• Configure Render deployment with render.yaml; • Create build.sh script with dependency management; • Set up production database (MariaDB/PostgreSQL); • Implement logging system with proper directory creation; • Configure Gunicorn for WSGI serving; • Set up static file collection and media handling; • Resolve pmdarima build dependencies (numpy, scipy versioning); • Configure timezone settings (Asia/Singapore)",Product Owner; Scrum Master; DevOps Engineer; Backend Developer; QA Tester,10 days,Completed
Sprint 11,Testing & Quality Assurance,"• Write unit tests for core models (Order, Medicine, PaymentSubmission); • Create integration tests for order workflow; • Develop payment processing test cases; • Test ARIMA forecasting with sample data; • Perform security testing for role-based access; • Conduct end-to-end testing of complete order lifecycle; • Perform load testing for concurrent users",Product Owner; Scrum Master; QA Tester; Backend Developer; Frontend Developer,10 days,In Progress
Sprint 12,Documentation & Training,"• Complete system documentation (API, user guides); • Create deployment guide and troubleshooting documentation; • Develop user training materials for each role; • Document ARIMA forecasting process and interpretation; • Create system architecture diagrams; • Prepare handover documentation",Product Owner; Scrum Master; Technical Writer; Backend Developer; Frontend Developer,10 days,Pending
Sprint 13,Performance Optimization,"• Optimize database queries with select_related and prefetch_related; • Implement caching strategy with Redis; • Optimize ARIMA model execution time; • Improve frontend rendering performance; • Reduce page load times; • Optimize static file delivery",Product Owner; Scrum Master; Backend Developer; Frontend Developer; DevOps Engineer,10 days,Pending
Sprint 14,Security Hardening & Compliance,"• Conduct security audit and vulnerability assessment; • Implement HIPAA compliance measures; • Add GDPR compliance features (data export, deletion); • Enhance audit logging system; • Implement rate limiting for API endpoints; • Add CSRF protection enhancements; • Conduct penetration testing",Product Owner; Scrum Master; Security Specialist; Backend Developer; QA Tester,10 days,Pending
Sprint 15,Mobile Responsiveness & UX Enhancement,"• Improve mobile responsiveness across all views; • Enhance UI/UX based on user feedback; • Implement responsive dashboard layouts; • Optimize forms for mobile input; • Add progressive web app features; • Conduct usability testing with end users",Product Owner; Scrum Master; UX Designer; Frontend Developer; QA Tester,10 days,Pending
Sprint 16,Advanced Analytics & Reporting,"• Implement advanced forecasting models (beyond ARIMA); • Create automated report generation; • Develop custom analytics dashboards; • Implement predictive inventory management; • Add sales trend analysis; • Create financial reporting features",Product Owner; Scrum Master; Data Scientist; Backend Developer; Frontend Developer; QA Tester,10 days,Pending

